,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年,1977年,1976年,1975年,1974年,1973年,1972年,1971年,1970年,1969年,1968年,1967年,1966年,1965年,1964年,1963年,1962年,1961年,1960年,1959年,1958年,1957年,1956年,1955年,1954年,1953年,1952年
余杭区_地区生产总值(亿元)_第三产业_本期值,2322.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
富阳区_地区生产总值(亿元)_本期值,812.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
富阳区_地区生产总值(亿元)_第一产业_本期值,49.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
富阳区_地区生产总值(亿元)_第二产业_本期值,345.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
富阳区_地区生产总值(亿元)_工业_本期值,296.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
富阳区_地区生产总值(亿元)_第三产业_本期值,417.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
临安区_地区生产总值(亿元)_本期值,600.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
临安区_地区生产总值(亿元)_第一产业_本期值,46.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
临安区_地区生产总值(亿元)_第二产业_本期值,280.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
临安区_地区生产总值(亿元)_工业_本期值,236.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
临安区_地区生产总值(亿元)_第三产业_本期值,274.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桐庐县_地区生产总值(亿元)_本期值,376.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桐庐县_地区生产总值(亿元)_第一产业_本期值,25.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桐庐县_地区生产总值(亿元)_第二产业_本期值,160.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桐庐县_地区生产总值(亿元)_工业_本期值,131.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桐庐县_地区生产总值(亿元)_第三产业_本期值,190.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
淳安县_地区生产总值(亿元)_本期值,240.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
淳安县_地区生产总值(亿元)_第一产业_本期值,38.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
淳安县_地区生产总值(亿元)_第二产业_本期值,62.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
淳安县_地区生产总值(亿元)_工业_本期值,37.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
淳安县_地区生产总值(亿元)_第三产业_本期值,139.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建德市_地区生产总值(亿元)_本期值,391.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建德市_地区生产总值(亿元)_第一产业_本期值,37.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建德市_地区生产总值(亿元)_第二产业_本期值,182.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建德市_地区生产总值(亿元)_工业_本期值,149.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建德市_地区生产总值(亿元)_第三产业_本期值,172.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁波市_地区生产总值(亿元)_本期值,,11985.12,11193.14,10146.55,8972.83,8295.35,7432.09,6862.02,6862.02,6212.56,5264.70,4405.12,3982.92,3449.62,2891.84,2462.09,2119.65,1749.27,1453.34,1278.75,1144.57,1017.08,952.79,952.79,784.07,602.65,459.66,315.11,213.05,169.86,141.40,137.25,118.62,95.99,80.22,71.05,53.17,41.68,36.88,31.99,29.53,24.15,20.17,,,,,,,,,,,,,,,,,,,,,,,,,,
宁波市_地区生产总值(亿元)_第一产业_本期值,,322.27,302.33,297.05,290.72,275.13,265.15,263.99,263.99,251.58,216.66,182.04,165.95,150.87,132.73,132.25,120.54,109.76,103.60,98.53,94.24,91.85,87.76,87.76,92.21,81.11,63.48,46.09,35.32,32.75,29.35,31.14,27.11,22.11,18.61,16.85,14.93,10.91,11.20,7.85,8.69,7.99,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,
宁波市_地区生产总值(亿元)_第二产业_本期值,,5782.92,5507.15,5119.01,4463.78,4210.91,3794.14,3572.82,3572.82,3394.02,2915.09,2400.69,2224.41,1923.42,1602.87,1355.66,1176.97,954.04,793.01,690.81,635.83,564.07,528.73,528.73,442.64,338.99,260.98,189.12,128.70,98.39,80.31,77.69,66.43,53.99,44.47,40.40,28.23,22.63,18.79,18.11,15.54,11.43,9.69,,,,,,,,,,,,,,,,,,,,,,,,,,
宁波市_地区生产总值(亿元)_工业_本期值,,5164.64,4898.77,4579.74,3953.81,3717.89,3381.56,3184.04,3184.04,3031.87,2613.74,2141.05,1989.04,1731.59,1434.14,1197.50,1036.42,847.79,715.24,624.92,578.30,512.84,478.67,478.67,390.74,295.90,227.59,165.61,116.20,88.69,72.46,71.02,60.28,48.76,40.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁波市_地区生产总值(亿元)_第三产业_本期值,,5879.93,5383.66,4730.50,4218.33,3809.31,3372.81,3025.21,3025.21,2566.97,2132.95,1822.40,1592.56,1375.33,1156.23,974.18,822.14,685.48,556.73,489.42,414.50,361.16,336.29,336.29,249.22,182.55,135.21,79.90,49.03,38.72,31.74,28.42,25.09,19.89,17.14,13.81,10.01,8.14,6.89,6.03,5.31,4.73,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,
海曙区_地区生产总值(亿元)_本期值,1201.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海曙区_地区生产总值(亿元)_第一产业_本期值,16.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
