,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年,1977年,1976年,1975年,1974年,1973年,1972年,1971年,1970年,1969年,1968年,1967年,1966年,1965年,1964年,1963年,1962年,1961年,1960年,1959年,1958年,1957年,1956年,1955年,1954年,1953年,1952年
湖州市_地区生产总值(亿元)_工业_本期值,,1422.08,1321.42,1195.92,1111.95,1050.03,940.78,863.57,863.57,779.19,716.62,629.60,533.39,460.95,384.91,313.53,265.51,215.40,188.20,172.53,153.80,143.15,137.82,137.82,114.04,95.37,85.53,62.08,35.27,25.06,21.38,19.88,18.16,14.73,12.33,10.15,6.97,5.48,4.84,4.57,4.32,3.28,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,
湖州市_地区生产总值(亿元)_第三产业_本期值,,1393.23,1261.32,1121.25,1016.68,919.72,765.98,663.22,663.22,589.07,483.51,406.48,355.94,310.50,258.78,226.55,190.37,163.70,134.33,119.45,105.13,93.18,86.97,86.97,71.48,61.09,46.30,29.95,19.06,13.68,12.00,11.12,9.23,7.57,6.49,5.51,4.00,3.42,3.14,2.76,2.39,1.95,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,
南浔区_地区生产总值(亿元)_本期值,468.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南浔区_地区生产总值(亿元)_第一产业_本期值,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南浔区_地区生产总值(亿元)_第二产业_本期值,271.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南浔区_地区生产总值(亿元)_工业_本期值,253.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南浔区_地区生产总值(亿元)_第三产业_本期值,170.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吴兴区_地区生产总值(亿元)_本期值,1002.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吴兴区_地区生产总值(亿元)_第一产业_本期值,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吴兴区_地区生产总值(亿元)_第二产业_本期值,447.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吴兴区_地区生产总值(亿元)_工业_本期值,377.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吴兴区_地区生产总值(亿元)_第三产业_本期值,530.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德清县_地区生产总值(亿元)_本期值,544.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德清县_地区生产总值(亿元)_第一产业_本期值,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德清县_地区生产总值(亿元)_第二产业_本期值,305.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德清县_地区生产总值(亿元)_工业_本期值,279.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德清县_地区生产总值(亿元)_第三产业_本期值,214.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长兴县_地区生产总值(亿元)_本期值,702.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长兴县_地区生产总值(亿元)_第一产业_本期值,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长兴县_地区生产总值(亿元)_第二产业_本期值,347.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长兴县_地区生产总值(亿元)_工业_本期值,314.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长兴县_地区生产总值(亿元)_第三产业_本期值,318.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安吉县_地区生产总值(亿元)_本期值,487.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安吉县_地区生产总值(亿元)_第一产业_本期值,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安吉县_地区生产总值(亿元)_第二产业_本期值,216.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安吉县_地区生产总值(亿元)_工业_本期值,197.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安吉县_地区生产总值(亿元)_第三产业_本期值,243.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
绍兴市_地区生产总值(亿元)_本期值,,5780.74,5382.72,5027.48,4697.15,4424.69,4010.84,3677.52,3677.52,3356.94,2811.75,2406.90,2256.20,2000.73,1700.37,1462.83,1255.30,1035.22,886.06,788.02,716.85,650.93,609.10,609.10,495.39,404.70,304.57,199.73,127.25,98.16,82.38,76.16,67.96,56.74,47.50,40.04,27.95,22.36,21.05,18.80,16.55,14.36,11.29,,,,,,,,,,,,,,,,,,,,,,,,,,
绍兴市_地区生产总值(亿元)_第一产业_本期值,,208.4,196.04,195.72,194.88,187.83,182.32,177.21,177.21,166.21,145.63,121.92,114.56,104.45,97.35,93.07,86.37,77.65,75.81,76.61,74.69,71.38,70.50,70.50,63.97,56.05,46.72,32.95,25.07,22.04,19.77,17.81,15.97,14.20,12.85,11.83,9.50,7.64,8.45,7.20,6.58,6.90,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,
绍兴市_地区生产总值(亿元)_第二产业_本期值,,2770.77,2629.69,2506.42,2385.21,2279.03,2161.65,2010.37,2010.37,1875.23,1593.30,1396.68,1338.18,1207.57,1026.72,882.67,753.21,611.76,513.77,457.20,420.67,387.77,363.24,363.24,295.42,242.72,180.13,121.37,73.19,53.89,43.57,40.63,37.07,31.09,25.19,20.45,12.85,10.03,8.30,7.83,6.68,4.66,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,
绍兴市_地区生产总值(亿元)_工业_本期值,,2325.64,2190.09,2123.23,2042.13,1949.68,1869.53,1746.13,1746.13,1635.39,1404.38,1251.98,1218.92,1097.94,927.99,790.78,661.69,537.63,454.60,406.72,376.03,349.57,327.12,327.12,261.11,212.28,157.82,105.67,66.07,49.15,39.66,36.74,33.51,28.03,23.22,18.70,11.89,9.20,7.50,6.98,5.81,4.00,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,
绍兴市_地区生产总值(亿元)_第三产业_本期值,,2801.56,2556.99,2325.34,2117.07,1957.82,1666.87,1489.95,1489.95,1315.51,1072.82,888.30,803.47,688.70,576.30,487.10,415.72,345.81,296.48,254.21,221.48,191.78,175.36,175.36,136.00,105.93,77.71,45.41,28.99,22.23,19.04,17.72,14.92,11.46,9.47,7.76,5.61,4.68,4.30,3.77,3.29,2.81,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,
越城区_地区生产总值(亿元)_本期值,1008.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
越城区_地区生产总值(亿元)_第一产业_本期值,13.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
越城区_地区生产总值(亿元)_第二产业_本期值,360.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
越城区_地区生产总值(亿元)_工业_本期值,271.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
越城区_地区生产总值(亿元)_第三产业_本期值,634.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柯桥区_地区生产总值(亿元)_本期值,1516.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柯桥区_地区生产总值(亿元)_第一产业_本期值,38.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柯桥区_地区生产总值(亿元)_第二产业_本期值,733.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柯桥区_地区生产总值(亿元)_工业_本期值,620.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
柯桥区_地区生产总值(亿元)_第三产业_本期值,744.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上虞区_地区生产总值(亿元)_本期值,1043.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上虞区_地区生产总值(亿元)_第一产业_本期值,52.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上虞区_地区生产总值(亿元)_第二产业_本期值,514.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上虞区_地区生产总值(亿元)_工业_本期值,426.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上虞区_地区生产总值(亿元)_第三产业_本期值,477.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
诸暨市_地区生产总值(亿元)_本期值,1362.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
诸暨市_地区生产总值(亿元)_第一产业_本期值,50.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
诸暨市_地区生产总值(亿元)_第二产业_本期值,617.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
诸暨市_地区生产总值(亿元)_工业_本期值,506.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
诸暨市_地区生产总值(亿元)_第三产业_本期值,693.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嵊州市_地区生产总值(亿元)_本期值,601.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嵊州市_地区生产总值(亿元)_第一产业_本期值,42.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嵊州市_地区生产总值(亿元)_第二产业_本期值,259.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嵊州市_地区生产总值(亿元)_工业_本期值,222.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嵊州市_地区生产总值(亿元)_第三产业_本期值,299.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新昌县_地区生产总值(亿元)_本期值,461.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新昌县_地区生产总值(亿元)_第一产业_本期值,22.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新昌县_地区生产总值(亿元)_第二产业_本期值,221.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新昌县_地区生产总值(亿元)_工业_本期值,194.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新昌县_地区生产总值(亿元)_第三产业_本期值,217.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金华市_地区生产总值(亿元)_本期值,,4559.91,4243.89,3962.17,3705.24,3481.08,2980.93,2689.85,2689.85,2433.11,2101.13,1761.13,1704.91,1489.55,1250.25,1072.07,929.62,756.30,637.41,562.42,509.35,458.18,437.26,437.26,386.23,319.64,230.71,153.04,110.13,87.09,74.64,66.72,59.64,45.43,37.25,30.96,24.52,20.10,18.32,15.27,14.25,12.39,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,
金华市_地区生产总值(亿元)_第一产业_本期值,,145.82,135.56,134.97,137.74,131.90,128.99,128.36,128.36,120.66,104.81,89.43,85.63,79.82,67.56,65.06,60.78,54.24,51.96,51.24,50.53,48.36,48.77,48.77,56.78,51.05,41.90,29.76,24.58,23.24,21.23,20.24,19.31,15.64,14.04,12.43,11.00,9.19,9.07,7.24,7.19,6.60,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,
金华市_地区生产总值(亿元)_第二产业_本期值,,1833.03,1731.48,1622.74,1561.29,1550.90,1402.26,1285.13,1285.13,1180.60,1054.64,897.32,918.18,806.39,675.02,570.82,495.31,401.94,342.75,304.53,278.84,251.54,240.53,240.53,207.27,171.17,116.40,73.18,46.34,35.33,29.82,26.60,23.57,17.94,13.93,11.22,7.84,6.18,5.24,4.66,4.15,3.35,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,
金华市_地区生产总值(亿元)_工业_本期值,,1565.05,1465.98,1370.52,1326.60,1323.92,1212.04,1104.01,1104.01,1006.88,904.45,783.06,818.65,720.83,596.41,497.50,422.40,345.41,297.35,265.22,244.89,221.05,211.28,211.28,180.11,149.49,101.28,64.02,41.40,31.82,26.81,23.91,20.89,15.84,12.07,9.74,6.91,5.41,4.43,4.05,3.62,2.92,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,
金华市_地区生产总值(亿元)_第三产业_本期值,,2581.06,2376.85,2204.45,2006.21,1798.28,1449.69,1276.36,1276.36,1131.85,941.68,774.38,701.10,603.34,507.67,436.19,373.53,300.12,242.70,206.64,179.97,158.28,147.95,147.95,122.18,97.42,72.41,50.11,39.22,28.52,23.60,19.88,16.76,11.85,9.27,7.32,5.68,4.72,4.02,3.37,2.91,2.43,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,
婺城区_地区生产总值(亿元)_本期值,654.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婺城区_地区生产总值(亿元)_第一产业_本期值,21.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婺城区_地区生产总值(亿元)_第二产业_本期值,199.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婺城区_地区生产总值(亿元)_工业_本期值,156.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
婺城区_地区生产总值(亿元)_第三产业_本期值,433.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金义新区（金东区）_地区生产总值(亿元)_本期值,259.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金义新区（金东区）_地区生产总值(亿元)_第一产业_本期值,14.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金义新区（金东区）_地区生产总值(亿元)_第二产业_本期值,112.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金义新区（金东区）_地区生产总值(亿元)_工业_本期值,89.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金义新区（金东区）_地区生产总值(亿元)_第三产业_本期值,131.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武义县_地区生产总值(亿元)_本期值,271.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武义县_地区生产总值(亿元)_第一产业_本期值,16.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武义县_地区生产总值(亿元)_第二产业_本期值,130.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武义县_地区生产总值(亿元)_工业_本期值,121.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武义县_地区生产总值(亿元)_第三产业_本期值,124.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浦江县_地区生产总值(亿元)_本期值,234.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浦江县_地区生产总值(亿元)_第一产业_本期值,11.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浦江县_地区生产总值(亿元)_第二产业_本期值,97.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浦江县_地区生产总值(亿元)_工业_本期值,83.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浦江县_地区生产总值(亿元)_第三产业_本期值,126.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
磐安县_地区生产总值(亿元)_本期值,120.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
磐安县_地区生产总值(亿元)_第一产业_本期值,12.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
磐安县_地区生产总值(亿元)_第二产业_本期值,46.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
磐安县_地区生产总值(亿元)_工业_本期值,34.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
磐安县_地区生产总值(亿元)_第三产业_本期值,61.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兰溪市_地区生产总值(亿元)_本期值,400.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兰溪市_地区生产总值(亿元)_第一产业_本期值,28.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兰溪市_地区生产总值(亿元)_第二产业_本期值,198.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兰溪市_地区生产总值(亿元)_工业_本期值,181.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兰溪市_地区生产总值(亿元)_第三产业_本期值,173.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
义乌市_地区生产总值(亿元)_本期值,1485.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
义乌市_地区生产总值(亿元)_第一产业_本期值,23.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
义乌市_地区生产总值(亿元)_第二产业_本期值,422.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
义乌市_地区生产总值(亿元)_工业_本期值,373.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
义乌市_地区生产总值(亿元)_第三产业_本期值,1039.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东阳市_地区生产总值(亿元)_本期值,638.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东阳市_地区生产总值(亿元)_第一产业_本期值,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东阳市_地区生产总值(亿元)_第二产业_本期值,272.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东阳市_地区生产总值(亿元)_工业_本期值,202.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
东阳市_地区生产总值(亿元)_第三产业_本期值,346.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永康市_地区生产总值(亿元)_本期值,639.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永康市_地区生产总值(亿元)_第一产业_本期值,8.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永康市_地区生产总值(亿元)_第二产业_本期值,335.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永康市_地区生产总值(亿元)_工业_本期值,311.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永康市_地区生产总值(亿元)_第三产业_本期值,295.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
衢州市_地区生产总值(亿元)_本期值,,1573.51,1457.08,1319.47,1229.89,1129.65,1043.16,964.44,964.44,910.97,752.12,625.94,580.87,479.77,388.18,329.14,280.46,238.47,198.41,174.34,155.23,142.85,136.73,136.73,126.89,112.17,86.42,63.01,45.55,39.60,36.81,31.62,27.48,21.58,18.41,16.26,13.34,11.36,10.47,8.83,8.18,7.57,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,
衢州市_地区生产总值(亿元)_第一产业_本期值,,86.51,80.88,80.53,81.95,78.98,77.87,76.07,76.07,73.17,62.66,58.20,55.96,52.36,51.15,49.27,44.38,39.15,36.77,35.03,33.05,34.31,34.82,34.82,35.35,31.24,25.65,17.00,13.57,14.28,15.48,11.41,9.93,8.82,7.73,7.53,6.48,5.42,5.55,4.51,4.19,4.16,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,
衢州市_地区生产总值(亿元)_第二产业_本期值,,651.12,631.37,569.85,543.44,523.58,508.17,494.20,494.20,487.28,397.98,330.46,314.05,249.36,188.79,151.58,125.35,100.30,83.72,74.50,66.60,60.03,57.22,57.22,54.66,51.60,39.67,31.44,21.68,16.81,14.21,13.01,11.20,7.86,6.51,5.48,4.37,3.98,3.27,2.90,2.75,2.33,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,
衢州市_地区生产总值(亿元)_工业_本期值,,528.99,510.97,459.94,444.17,439.01,429.21,418.20,418.20,415.09,339.19,277.05,265.62,208.13,155.38,122.92,98.78,78.89,66.43,59.96,54.44,49.85,48.42,48.42,45.31,43.81,34.38,27.14,18.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
衢州市_地区生产总值(亿元)_第三产业_本期值,,835.88,744.8293,669.08,604.49,527.09,457.12,394.17,394.17,350.53,291.47,237.28,210.86,178.05,148.25,128.29,110.73,99.03,77.92,64.81,55.59,48.51,44.69,44.69,36.88,29.32,21.10,14.57,10.31,8.51,7.12,7.20,6.35,4.90,4.17,3.25,2.48,1.96,1.65,1.41,1.24,1.07,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,
衢江区_地区生产总值(亿元)_本期值,209.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
衢江区_地区生产总值(亿元)_第一产业_本期值,21.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
